oare_id,parent_oare_id,fold,group_key,group_kind,group_source
extpub__fd4c82dd-2f8c-c5d0-bc9e-86b333b6e261,extpub__fd4c82dd-2f8c-c5d0-bc9e-86b333b6e261,4,external|0.5|túg|i-nu-mì|l1,external_parent,silver_external
extpub__cfa70ea2-f360-4d3d-b5ab-f3145cb368f2,extpub__cfa70ea2-f360-4d3d-b5ab-f3145cb368f2,2,external|0.5|ma-na|0.33333|l3,external_parent,silver_external
extpub__35295d55-4977-4f39-ac97-1cf6781a588e,extpub__35295d55-4977-4f39-ac97-1cf6781a588e,4,external|0.5|ma-na|2|l4,external_parent,silver_external
extpub__5715f83c-6eb6-4a5a-9fa8-302f3d627027,extpub__5715f83c-6eb6-4a5a-9fa8-302f3d627027,3,external|0.5|ma-na|2|l5,external_parent,silver_external
extpub__5dbe9dc6-844c-423f-92e7-94bab027cd80,extpub__5dbe9dc6-844c-423f-92e7-94bab027cd80,2,external|0.5|ma-na|2|l4,external_parent,silver_external
extpub__1102b6cc-898d-adf9-a7b0-5a743019cbd9,extpub__1102b6cc-898d-adf9-a7b0-5a743019cbd9,3,external|0.5|ma-na|2.5|l4,external_parent,silver_external
extpub__07375908-5d24-dcc1-857d-aaf36635f9c7,extpub__07375908-5d24-dcc1-857d-aaf36635f9c7,1,external|0.5|ma-na|4.5|l5,external_parent,silver_external
extpub__437abf36-7e72-4651-bdff-631b8be09be4,extpub__437abf36-7e72-4651-bdff-631b8be09be4,3,external|0.5|ma-na|5|l9,external_parent,silver_external
extpub__7b9a1a6f-9699-48f1-999a-d8ba4bc4e263,extpub__7b9a1a6f-9699-48f1-999a-d8ba4bc4e263,4,external|0.5|ma-na|5|l4,external_parent,silver_external
extpub__29fd9a1d-02ad-1ba5-a82c-645dc5094285,extpub__29fd9a1d-02ad-1ba5-a82c-645dc5094285,4,external|0.5|ma-na|6.5|l11,external_parent,silver_external
extpub__a9ca4fd0-005a-4e90-bcbe-60ea4458a48f,extpub__a9ca4fd0-005a-4e90-bcbe-60ea4458a48f,4,external|0.5|ma-na|7.5|l4,external_parent,silver_external
extpub__f4a08131-02d9-47ed-3845-f63d73957762,extpub__f4a08131-02d9-47ed-3845-f63d73957762,1,external|0.5|ma-na|7.5|l5,external_parent,silver_external
extpub__7a068237-82c2-4227-8f38-824ceb10bacc,extpub__7a068237-82c2-4227-8f38-824ceb10bacc,4,external|0.5|ma-na|7.5|l3,external_parent,silver_external
extpub__d4b17eaa-d5bb-4874-bfac-ff110da14aaa,extpub__d4b17eaa-d5bb-4874-bfac-ff110da14aaa,4,external|0.5|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__fcbd0ce6-4980-4957-94c1-05308b46c374,extpub__fcbd0ce6-4980-4957-94c1-05308b46c374,2,external|0.5|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__66de4cf2-36f6-459a-992e-1d76ef752aa4,extpub__66de4cf2-36f6-459a-992e-1d76ef752aa4,4,external|0.5|ma-na|kù.babbar|l2,external_parent,silver_external
extpub__e88d4536-3043-449b-a31e-43859cb49b38,extpub__e88d4536-3043-449b-a31e-43859cb49b38,4,external|0.5|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__fa7d661e-4e7e-4602-9b2b-1d94fca9996a,extpub__fa7d661e-4e7e-4602-9b2b-1d94fca9996a,4,external|0.5|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__ab5d5427-c501-4203-860f-0e20f11760f9,extpub__ab5d5427-c501-4203-860f-0e20f11760f9,1,external|0.5|ma-na|kù.babbar|l7,external_parent,silver_external
extpub__82f3e34e-1192-43b2-8b09-78942b099de0,extpub__82f3e34e-1192-43b2-8b09-78942b099de0,1,external|0.5|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__3a7e8edc-4599-4909-a195-b48f9cd3a918,extpub__3a7e8edc-4599-4909-a195-b48f9cd3a918,4,external|0.5|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__ad62afdf-6a7c-075f-e466-bd1f94906242,extpub__ad62afdf-6a7c-075f-e466-bd1f94906242,1,external|0.5|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__e481e6ce-9b84-480e-94bd-111db03247ce,extpub__e481e6ce-9b84-480e-94bd-111db03247ce,2,external|0.5|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__a9ab61cf-5963-c180-3898-27a76268fb99,extpub__a9ab61cf-5963-c180-3898-27a76268fb99,4,external|0.5|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__2f50a984-a15c-4d74-a730-4c21a0bb6e75,extpub__2f50a984-a15c-4d74-a730-4c21a0bb6e75,2,external|0.5|ma-na|kù.babbar|l6,external_parent,silver_external
extpub__67d94ec6-c595-40f2-b474-e017242656e4,extpub__67d94ec6-c595-40f2-b474-e017242656e4,3,external|0.5|ma-na|kù.babbar|l7,external_parent,silver_external
extpub__1ba2ebae-5106-4ba3-941b-ab9b05e44c1b,extpub__1ba2ebae-5106-4ba3-941b-ab9b05e44c1b,2,external|0.5|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__807860a0-2562-4492-b8b9-fca78f6080f7,extpub__807860a0-2562-4492-b8b9-fca78f6080f7,1,external|0.5|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__dba922f0-ff56-4cc7-a508-6f80df502b98,extpub__dba922f0-ff56-4cc7-a508-6f80df502b98,4,external|0.5|ma-na|lá|l3,external_parent,silver_external
extpub__b51f4672-9a20-47bf-bfaf-36f56967fb89,extpub__b51f4672-9a20-47bf-bfaf-36f56967fb89,1,external|0.66666|gín|15|l3,external_parent,silver_external
extpub__373008e7-4d7f-4c28-a400-53365a179f99,extpub__373008e7-4d7f-4c28-a400-53365a179f99,4,external|0.66666|ma-na|1.5|l11,external_parent,silver_external
extpub__a472c07d-e45c-4910-a477-661a8cd43547,extpub__a472c07d-e45c-4910-a477-661a8cd43547,2,external|0.66666|ma-na|5|l15,external_parent,silver_external
extpub__65e83bcd-1aa6-42c4-b4d2-9da97dda2036,extpub__65e83bcd-1aa6-42c4-b4d2-9da97dda2036,3,external|0.66666|ma-na|5|l5,external_parent,silver_external
extpub__206c11fc-a57d-4463-955b-64303413b85b,extpub__206c11fc-a57d-4463-955b-64303413b85b,1,external|0.66666|ma-na|5|l4,external_parent,silver_external
extpub__8dbb2468-5561-4934-bdde-d313877d8ad6,extpub__8dbb2468-5561-4934-bdde-d313877d8ad6,4,external|0.66666|ma-na|5|l5,external_parent,silver_external
extpub__f7f36920-7ed2-434a-a0e9-1f5f0f6bb198,extpub__f7f36920-7ed2-434a-a0e9-1f5f0f6bb198,1,external|0.66666|ma-na|6|l3,external_parent,silver_external
extpub__82b07223-b080-a076-8b7f-d781f8629270,extpub__82b07223-b080-a076-8b7f-d781f8629270,1,external|0.66666|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__edff9140-eb70-21fd-33dc-3b8728bab07c,extpub__edff9140-eb70-21fd-33dc-3b8728bab07c,3,external|0.66666|ma-na|kù.babbar|l2,external_parent,silver_external
extpub__d6ddafa9-ab25-4876-a7db-df0c89a524a7,extpub__d6ddafa9-ab25-4876-a7db-df0c89a524a7,4,external|0.66666|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__03a8c5b0-7ac6-6442-ecda-ef586d2f2a69,extpub__03a8c5b0-7ac6-6442-ecda-ef586d2f2a69,4,external|0.66666|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__482028eb-97fa-4a9a-bccc-71653662d9d9,extpub__482028eb-97fa-4a9a-bccc-71653662d9d9,2,external|0.66666|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__bcf16e38-87fa-cb78-cba7-47f95ebb8c14,extpub__bcf16e38-87fa-cb78-cba7-47f95ebb8c14,4,external|0.66666|ma-na|kù.gi|l7,external_parent,silver_external
extpub__908b33d8-2e06-f748-530b-0538f1c6e1d3,extpub__908b33d8-2e06-f748-530b-0538f1c6e1d3,1,external|0.66666|ma-na|lá|l4,external_parent,silver_external
extpub__ec2bcf81-29c3-4715-a8f8-1533a9246def,extpub__ec2bcf81-29c3-4715-a8f8-1533a9246def,4,external|0.83333|ma-na|1|l4,external_parent,silver_external
extpub__508241bc-4dd8-b9bc-b598-ece9cb6e6df4,extpub__508241bc-4dd8-b9bc-b598-ece9cb6e6df4,1,external|0.83333|ma-na|1|l4,external_parent,silver_external
extpub__33b778c4-0066-4873-89b4-4834de8e4ef6,extpub__33b778c4-0066-4873-89b4-4834de8e4ef6,1,external|0.83333|ma-na|5|l4,external_parent,silver_external
extpub__08738294-8c28-ac98-b30e-7e42fb17b927,extpub__08738294-8c28-ac98-b30e-7e42fb17b927,4,external|0.83333|ma-na|5|l7,external_parent,silver_external
extpub__807d2a37-5ec2-46c4-9d94-e1228a852e97,extpub__807d2a37-5ec2-46c4-9d94-e1228a852e97,2,external|0.83333|ma-na|6|l5,external_parent,silver_external
extpub__6ab75123-741e-c259-7547-3f9a952518d7,extpub__6ab75123-741e-c259-7547-3f9a952518d7,1,external|0.83333|ma-na|6.83334|l4,external_parent,silver_external
extpub__9de2f9dd-c45c-45f9-a4d5-9787a20719f8,extpub__9de2f9dd-c45c-45f9-a4d5-9787a20719f8,3,external|0.83333|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__e982603f-b52e-e9b8-4e1e-4551016804e2,extpub__e982603f-b52e-e9b8-4e1e-4551016804e2,4,external|0.83333|ma-na|kù.babbar|l8,external_parent,silver_external
extpub__77f85a31-b948-42fa-9f93-b3794d84418c,extpub__77f85a31-b948-42fa-9f93-b3794d84418c,3,external|0.83333|ma-na|lá|l6,external_parent,silver_external
extpub__6902b817-30e6-15d4-da02-36f3306a9f17,extpub__6902b817-30e6-15d4-da02-36f3306a9f17,1,external|1|0.33333|ma-na|l4,external_parent,silver_external
extpub__8c6112b3-874e-a604-c359-d374c07fb000,extpub__8c6112b3-874e-a604-c359-d374c07fb000,1,external|1|gín|pí-la-aḫ-a-šur|l14,external_parent,silver_external
extpub__8a671994-76bd-4c75-b269-564dd9a2a873,extpub__8a671994-76bd-4c75-b269-564dd9a2a873,4,external|1|gú|20|l6,external_parent,silver_external
extpub__deb3c9c3-d52c-4d99-fb80-5592db52c7b0,extpub__deb3c9c3-d52c-4d99-fb80-5592db52c7b0,2,external|1|gú|45|l5,external_parent,silver_external
extpub__008a0b1b-0319-5104-01ab-5f1e8e389aef,extpub__008a0b1b-0319-5104-01ab-5f1e8e389aef,3,external|1|gú|52|l5,external_parent,silver_external
extpub__03ea96e9-37df-4eb5-b385-f764ab8d5f5e,extpub__03ea96e9-37df-4eb5-b385-f764ab8d5f5e,2,external|1|gú|57.5|l3,external_parent,silver_external
extpub__78baaefc-856f-37fa-5612-1a5b3e28f0a5,extpub__78baaefc-856f-37fa-5612-1a5b3e28f0a5,2,external|1|gú|an.na|l5,external_parent,silver_external
extpub__58a9dabf-3ced-435f-994b-42233287ac4f,extpub__58a9dabf-3ced-435f-994b-42233287ac4f,1,external|1|gú|urudu|l5,external_parent,silver_external
extpub__cf788c31-7774-4b91-87d8-4558296631e8,extpub__cf788c31-7774-4b91-87d8-4558296631e8,3,external|1|túg|šu-ra-am|l2,external_parent,silver_external
extpub__336ec405-b1ba-4667-8845-bf59cd6276be,extpub__336ec405-b1ba-4667-8845-bf59cd6276be,3,external|1|túg-sa-qúm|ki-mi-ia|l0,external_parent,silver_external
extpub__81e51288-2841-4552-b509-7a797fc49d61,extpub__81e51288-2841-4552-b509-7a797fc49d61,1,external|1|ma-na|1.5|l5,external_parent,silver_external
extpub__3d09a02a-6ccd-4505-b855-14f64410b702,extpub__3d09a02a-6ccd-4505-b855-14f64410b702,3,external|1|ma-na|10|l6,external_parent,silver_external
extpub__9abbf12b-ee73-4953-a039-d2214a649ee3,extpub__9abbf12b-ee73-4953-a039-d2214a649ee3,4,external|1|ma-na|10|l7,external_parent,silver_external
extpub__ade6c962-39a9-43a8-9f39-36a9f13d1159,extpub__ade6c962-39a9-43a8-9f39-36a9f13d1159,4,external|1|ma-na|12|l4,external_parent,silver_external
extpub__c37e3b5d-e0be-4bd2-956f-a24bc54d30ce,extpub__c37e3b5d-e0be-4bd2-956f-a24bc54d30ce,1,external|1|ma-na|12.33333|l3,external_parent,silver_external
extpub__6a397f48-c1e2-4473-9f03-145159553f48,extpub__6a397f48-c1e2-4473-9f03-145159553f48,4,external|1|ma-na|15|l15,external_parent,silver_external
extpub__e694b475-4e22-4987-b62d-124c630afe06,extpub__e694b475-4e22-4987-b62d-124c630afe06,2,external|1|ma-na|15|l4,external_parent,silver_external
extpub__18b0bbeb-a929-4864-a4ed-8c8a3c2c7512,extpub__18b0bbeb-a929-4864-a4ed-8c8a3c2c7512,3,external|1|ma-na|3|l4,external_parent,silver_external
extpub__a6c0b804-f4f6-4df2-893d-f07bf1b72d15,extpub__a6c0b804-f4f6-4df2-893d-f07bf1b72d15,3,external|1|ma-na|4.66666|l5,external_parent,silver_external
extpub__edc55271-58cd-c3cf-6316-1c5b3f41a29e,extpub__edc55271-58cd-c3cf-6316-1c5b3f41a29e,3,external|1|ma-na|5.83334|l5,external_parent,silver_external
extpub__5046008b-94cb-fc7b-7fbb-c8738f3bb388,extpub__5046008b-94cb-fc7b-7fbb-c8738f3bb388,1,external|1|ma-na|6.5|l15,external_parent,silver_external
extpub__f5ffae2d-8854-50db-3f64-641a30b5b478,extpub__f5ffae2d-8854-50db-3f64-641a30b5b478,1,external|1|ma-na|7.5|l4,external_parent,silver_external
extpub__dfaa9590-ecfc-29dd-0b69-fdb6a638195f,extpub__dfaa9590-ecfc-29dd-0b69-fdb6a638195f,2,external|1|ma-na|8.5|l1,external_parent,silver_external
extpub__473ae822-9da8-458d-bcb3-b5f044d8806e,extpub__473ae822-9da8-458d-bcb3-b5f044d8806e,1,external|1|ma-na|9|l4,external_parent,silver_external
extpub__9c411ce1-5f2b-8505-9393-5c03ef129241,extpub__9c411ce1-5f2b-8505-9393-5c03ef129241,1,external|1|ma-na|an.na|l3,external_parent,silver_external
extpub__1e62f217-7616-8c9a-3a01-2f7d024d4625,extpub__1e62f217-7616-8c9a-3a01-2f7d024d4625,2,external|1|ma-na|kù.babbar|l2,external_parent,silver_external
extpub__f2b62c6a-6c7f-4353-9352-6a11a3b867c1,extpub__f2b62c6a-6c7f-4353-9352-6a11a3b867c1,4,external|1|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__f75738e1-470e-4f65-8928-fb27c1e6c4b6,extpub__f75738e1-470e-4f65-8928-fb27c1e6c4b6,2,external|1|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__3f76f1f9-c0a8-0484-0d4c-5f23ba93f5ed,extpub__3f76f1f9-c0a8-0484-0d4c-5f23ba93f5ed,1,external|1|ma-na|kù.babbar|l11,external_parent,silver_external
extpub__c16149da-1d00-f8a7-2988-339067d35571,extpub__c16149da-1d00-f8a7-2988-339067d35571,2,external|1|ma-na|kù.babbar|l15,external_parent,silver_external
extpub__629c0bb7-708f-4401-ac77-33481f1ffac3,extpub__629c0bb7-708f-4401-ac77-33481f1ffac3,1,external|1|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__5575df69-5d8b-797e-acf3-33594ce09bfa,extpub__5575df69-5d8b-797e-acf3-33594ce09bfa,1,external|1|ma-na|kù.babbar|l15,external_parent,silver_external
extpub__0a4a6d81-85d8-4cb5-9d19-1e74675f89cb,extpub__0a4a6d81-85d8-4cb5-9d19-1e74675f89cb,1,external|1|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__4ded5d1c-57fb-4fb9-a487-48acc6e7135a,extpub__4ded5d1c-57fb-4fb9-a487-48acc6e7135a,3,external|1|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__8d5051e7-630f-4771-25b9-38f078dcf0c2,extpub__8d5051e7-630f-4771-25b9-38f078dcf0c2,3,external|1|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__ffe434da-6ad4-4f48-badc-7a79706799d5,extpub__ffe434da-6ad4-4f48-badc-7a79706799d5,1,external|1|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__a875961e-191c-6eb5-470c-2e4f177e2036,extpub__a875961e-191c-6eb5-470c-2e4f177e2036,3,external|1|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__f0077d9b-6316-44c9-bb26-8ed123282671,extpub__f0077d9b-6316-44c9-bb26-8ed123282671,3,external|1|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__9bdc7305-55f6-4d9b-8d11-fb1a07993ed4,extpub__9bdc7305-55f6-4d9b-8d11-fb1a07993ed4,3,external|1|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__10b1ed0f-860a-4a3d-939e-3a7f43aca52e,extpub__10b1ed0f-860a-4a3d-939e-3a7f43aca52e,1,external|1|ma-na|lá|l5,external_parent,silver_external
extpub__389a2bcf-7cc9-6fb8-2aa7-c6bf377bc630,extpub__389a2bcf-7cc9-6fb8-2aa7-c6bf377bc630,4,external|1|ma-na|lá|l7,external_parent,silver_external
extpub__31ebdcdf-4276-5ee5-6d71-94f6d7547d54,extpub__31ebdcdf-4276-5ee5-6d71-94f6d7547d54,1,external|1|né-pí-šum|10.66666|l15,external_parent,silver_external
extpub__3178753d-eb7f-4642-b8f6-45f838ec1696,extpub__3178753d-eb7f-4642-b8f6-45f838ec1696,4,external|1|né-pí-šum|20|l12,external_parent,silver_external
extpub__de0e3a73-e4f9-47a5-884a-e860f03c5ec9,extpub__de0e3a73-e4f9-47a5-884a-e860f03c5ec9,4,external|1|{túg}ra-qá-tum|sag|l0,external_parent,silver_external
extpub__d0e95d0a-2e88-480f-9418-9e9d6ef01a43,extpub__d0e95d0a-2e88-480f-9418-9e9d6ef01a43,1,external|1|šu-ba-at|qá-qí-ri|l10,external_parent,silver_external
extpub__e279029f-f195-730b-ad60-9720c705f899,extpub__e279029f-f195-730b-ad60-9720c705f899,4,external|1|ṭup-pu-um|ša|l15,external_parent,silver_external
extpub__59b85b73-ef7a-9041-839a-9fd99272bd37,extpub__59b85b73-ef7a-9041-839a-9fd99272bd37,4,external|1|ṭup-pu-um|ša|l8,external_parent,silver_external
extpub__76c8caed-2d3c-4f1a-97bb-391972ddb59d,extpub__76c8caed-2d3c-4f1a-97bb-391972ddb59d,1,external|1|ṭup-pì|ša|l7,external_parent,silver_external
extpub__663faaaa-3893-4177-9cdc-27f15ce8cd22,extpub__663faaaa-3893-4177-9cdc-27f15ce8cd22,1,external|1.3333300000000001|ma-na|1|l5,external_parent,silver_external
extpub__4c3eef56-f43a-4e04-ae62-eabeff05cd71,extpub__4c3eef56-f43a-4e04-ae62-eabeff05cd71,1,external|1.3333300000000001|ma-na|5|l6,external_parent,silver_external
extpub__a3466b90-939b-e1bd-a300-f116b2410253,extpub__a3466b90-939b-e1bd-a300-f116b2410253,3,external|1.3333300000000001|ma-na|5|l6,external_parent,silver_external
extpub__8478c367-c100-43d5-90b2-5145d6c5c4bb,extpub__8478c367-c100-43d5-90b2-5145d6c5c4bb,3,external|1.3333300000000001|ma-na|6.5|l4,external_parent,silver_external
extpub__99f480f3-5f30-dd49-06f9-ba9a70fcbe1b,extpub__99f480f3-5f30-dd49-06f9-ba9a70fcbe1b,3,external|1.3333300000000001|ma-na|7|l11,external_parent,silver_external
extpub__37828afa-b299-4c4a-9242-7cc0257af025,extpub__37828afa-b299-4c4a-9242-7cc0257af025,4,external|1.3333300000000001|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__9a3f3482-c2ba-2022-486f-81cab3e02855,extpub__9a3f3482-c2ba-2022-486f-81cab3e02855,4,external|1.5|gín|kù.babbar|l2,external_parent,silver_external
extpub__2e0c82b8-e2f5-4331-bc59-dfbf8bc17fce,extpub__2e0c82b8-e2f5-4331-bc59-dfbf8bc17fce,3,external|1.5|gín|kù.gi|l3,external_parent,silver_external
extpub__dc3441d5-8e29-d015-e49f-a7b47461273e,extpub__dc3441d5-8e29-d015-e49f-a7b47461273e,3,external|1.5|gín|kù.gi|l5,external_parent,silver_external
extpub__a4b06ad1-c685-504c-8821-fbd76df8c97f,extpub__a4b06ad1-c685-504c-8821-fbd76df8c97f,1,external|1.5|ma-na|0.25|l5,external_parent,silver_external
extpub__c9e3fe00-2409-f3e0-4dda-e11c64182513,extpub__c9e3fe00-2409-f3e0-4dda-e11c64182513,2,external|1.5|ma-na|1.5|l5,external_parent,silver_external
extpub__463e0c5b-9180-440c-bce0-464bc87b09a3,extpub__463e0c5b-9180-440c-bce0-464bc87b09a3,4,external|1.5|ma-na|5.33333|l7,external_parent,silver_external
extpub__1e6c1075-3950-8067-87c1-d096641fbd58,extpub__1e6c1075-3950-8067-87c1-d096641fbd58,3,external|1.5|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__ae36b8de-cbb9-42b5-9ddb-771be3e3e350,extpub__ae36b8de-cbb9-42b5-9ddb-771be3e3e350,4,external|1.5|ma-na|kù.babbar|l7,external_parent,silver_external
extpub__97695b6c-5d43-4705-b3eb-c4406e2874b1,extpub__97695b6c-5d43-4705-b3eb-c4406e2874b1,3,external|1.5|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__793d817c-84ad-46bb-97bf-990ae6bb19a4,extpub__793d817c-84ad-46bb-97bf-990ae6bb19a4,3,external|1.5|ma-na|kù.babbar|l6,external_parent,silver_external
extpub__33ac2084-3986-b759-2c8a-b8352d1d66c3,extpub__33ac2084-3986-b759-2c8a-b8352d1d66c3,4,external|1.5|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__78882171-276f-4fa1-8cd9-47981117e61b,extpub__78882171-276f-4fa1-8cd9-47981117e61b,1,external|1.5|ma-na|urudu|l5,external_parent,silver_external
extpub__9b33f950-3f23-48f5-81eb-0ffc8f0f1195,extpub__9b33f950-3f23-48f5-81eb-0ffc8f0f1195,2,external|1.66666|ma-na|1|l5,external_parent,silver_external
extpub__695fca1f-5737-eb45-643b-65fb24aedd1e,extpub__695fca1f-5737-eb45-643b-65fb24aedd1e,1,external|1.66666|ma-na|5|l4,external_parent,silver_external
extpub__0361861c-a309-ee14-a5cb-8c819da14884,extpub__0361861c-a309-ee14-a5cb-8c819da14884,4,external|1.66666|ma-na|6|l6,external_parent,silver_external
