oare_id,parent_oare_id,chunk_index,chunk_mode,is_short_aligned,reference,raw_prediction,recommended_prediction,incumbent_prediction,parent_id,raw_count,is_hard_parent
cc64a304-95c3-4d6a-a930-a676162da916,cc64a304-95c3-4d6a-a930-a676162da916,0,none,,Sealed by Man-mahir son of Amur-Ištar; to Ennam-Aššur.,"To Ennam-Aššur, sealed by Ali-ahum and <gap>-Ištar.",To Man-mahir son of Amur-Ištar.,To Man-mahir son of Amur-Ištar.,cc64a304-95c3-4d6a-a930-a676162da916,7,False
db42bf74-0679-423f-9d20-b8ab940583b4__c2of3,db42bf74-0679-423f-9d20-b8ab940583b4,1,ratio,,"not been able to return your favours May Aššur and the gods of friendship be my witnesses: For that silver, for at least 5 minas of silver I was able to listen to your words and I was able to return your favours","The silver to Zulu And you, until this very day you have kept silent Aššur and the god(s) of our father may witness <gap> give <gap>""",Seal of Aššur and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger,Seal of Aššur and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger,db42bf74-0679-423f-9d20-b8ab940583b4,4,True
dff850c8-ccd4-44a9-9994-2834ca832a6d__c2of13,dff850c8-ccd4-44a9-9994-2834ca832a6d,1,ratio,,"you (pl.), 1 textile thereof was for his own clothing. After the expenses of Abiaya and Aššur-taklāku and the silver of <gap> 3 minas and 6 shekels of silver became freely available for him. Six minas of silver which were cleared Kuliya took. For this affair the of Šalatuwar made us appear in court and we gave <our testimony> in the presence of Aššur-šu-<gap> and","The 14 minas <gap> 8.6666 shekels of silver is the price of tin, textiles and donkeys.",Seal of 20 <gap> and Emarrum-bāni <gap> and Emarrum-bāni <gap>,Seal of 20 <gap> and Emarrum-bāni <gap> and Emarrum-bāni <gap>,dff850c8-ccd4-44a9-9994-2834ca832a6d,5,True
f7c0535b-c527-4289-911a-c2a3f26ba2cf,f7c0535b-c527-4289-911a-c2a3f26ba2cf,0,none,,To Ennam-Aššur; seal of Amur-Ištar. 3 minas of copper and 2 shekels of silver <gap>,"To Ennam-Aššur, sealed by Ali-ahum and <gap>-Ištar.","To Ennam-Aššur, seal of Amur-Ištar, 3 minas of silver and 2 shekels of silver and 2 shekels of silver.","To Ennam-Aššur, seal of Amur-Ištar, 3 minas of silver and 2 shekels of silver and 2 shekels of silver.",f7c0535b-c527-4289-911a-c2a3f26ba2cf,7,False
f8317e4a-b7c1-4a17-aed2-e93aef5aa2ff__c2of2,f8317e4a-b7c1-4a17-aed2-e93aef5aa2ff,1,ratio,,"You keep cheating me on the packing of the donkeys, yet I did rent the donkeys to you for 10 shekels of silver each Give me the silver, or I shall seize it from your silver There, know this """"","The 14 minas <gap> 8.6666 shekels of silver is the price of tin, textiles and donkeys.","Seal of Sarad-imittī and the silver to Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī","Seal of Sarad-imittī and the silver to Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī",f8317e4a-b7c1-4a17-aed2-e93aef5aa2ff,5,False
fb912375-cde1-4def-9393-264eb46b1462__c2of2,fb912375-cde1-4def-9393-264eb46b1462,1,ratio,,"So, sell either cheap or dear, set out and come I wait for you for my journey Also sell the donkeys and have the price of the donkeys be available in silver Pay attention and come here","The 14 minas <gap> 8.6666 shekels of silver is the price of tin, textiles and donkeys.",Seal of Uqaya and Amur-Aššur son of Šaliṭāb and Ali-ahum son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭā,Seal of Uqaya and Amur-Aššur son of Šaliṭāb and Ali-ahum son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭā,fb912375-cde1-4def-9393-264eb46b1462,5,False
fded4d2f-81a5-45b3-8d62-74e5ffb2e159__c1of2,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,0,ratio,,"Seal of Kula brother of Šukkutum, seal of Puzur-Ti'amtum son of Ištar-pālil, seal of Ennam-Aššur son of Karria, seal of Enna-Suen son of Iddin-abum, seal of Anuli his brother. As to the goods belonging to Šalim-Aššur that were in hahhum",In accordance with the tablet with a verdict of the City that Kakuwa brought Enna-Suen and Anuli must not raise claims to those goods against Šalim-Aššur.,"Seal of Kula, seal of Kula, seal of Puzur-tiamtim, son of Ištar-palil, seal of Ennam-Suen son of Iddin-abum, seal of Anuli.","Seal of Kula, seal of Kula, seal of Puzur-tiamtim, son of Ištar-palil, seal of Ennam-Suen son of Iddin-abum, seal of Anuli.",fded4d2f-81a5-45b3-8d62-74e5ffb2e159,4,False
fded4d2f-81a5-45b3-8d62-74e5ffb2e159__c2of2,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,1,ratio,,"in the house of Issu-arik, and which the sons of Iddin-abum seized - in accordance with the tablet with a verdict of the City that Kakuwa brought, Enna-Suen and Anuli must not raise claim against Šalim-Aššur with respect to these goods.",In accordance with the tablet with a verdict of the City that Kakuwa brought Enna-Suen and Anuli must not raise claims to those goods against Šalim-Aššur.,From the City and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Is,From the City and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Is,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,4,False
91aa354c-08f3-4527-9b13-ef6360b39118__c2of2__gc1of1,91aa354c-08f3-4527-9b13-ef6360b39118,0,short_aligned_gale_church,True,3333 mina to the office of the colony Raise it with your father there I furthermore gave you a year ago 1 fine robe Its price was 0 3333 mina 5 shekels of silver,"To copper and 3 shekels of silver for his small goods, 3 shekels of silver <gap> I gave to Aluwa. I paid 4.5 shekels of silver, the fees from the City when he returned. <gap> minas of sickles, 3 shekels for his expenses…",Seal of 0.3333 mina 5 shekels of silver from the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds,Seal of 0.3333 mina 5 shekels of silver from the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds,91aa354c-08f3-4527-9b13-ef6360b39118,5,False
20bb1e14-ee80-4666-ba0d-4fd9a78ca4b7__c2of6__gc1of1,20bb1e14-ee80-4666-ba0d-4fd9a78ca4b7,0,short_aligned_gale_church,True,"tablet of the investment Šalim-Aššur made to you, that very tablet is in the eponym's possession, so pay the silver and the accrued profit, let it go to the eponym and then he can give the tablet concerning your capital to your representatives","Investors of Šalim-Aššur may make demands Do this and dispatch the 2 tablets with verdicts of the City plus a copy of the testament, and hire an attorney and send Aluwa and the attorney as soon as possible",From Šalim-Aššur to Ali-ahum and the silver that Šalim-Aššur shall pay the silver and the silver and the silver will pay the silver and the silver will pay the silver and the silver,From Šalim-Aššur to Ali-ahum and the silver that Šalim-Aššur shall pay the silver and the silver and the silver will pay the silver and the silver will pay the silver and the silver,20bb1e14-ee80-4666-ba0d-4fd9a78ca4b7,6,True
b2a35edb-8f41-4666-b6ff-8e1aa4c1822c__c4of4__gc1of1,b2a35edb-8f41-4666-b6ff-8e1aa4c1822c,0,short_aligned_gale_church,True,Itūr-ilī gave 0 3333 mina of beads( ) plus 2 good to Ennam-Aššur for purchases From here and from there it will pass overland in the name of Itūr-Ilī In accordance with the certified tablet that I hold <gap>,To Itūr-ilī; seal of Enna-Suen.,"Seal of Itūr-ilī, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur","Seal of Itūr-ilī, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur",b2a35edb-8f41-4666-b6ff-8e1aa4c1822c,4,True
04939319-b287-455f-9634-e86658e6e392__gc1of1,04939319-b287-455f-9634-e86658e6e392,0,short_aligned_gale_church,True,To Ahātum; seal of Ali-ahum and seal of Iddin-abum.,"To Ennam-Aššur, sealed by Ali-ahum and <gap>-Ištar.",Seal of Ali-ahum and Iddin-abum.,Seal of Ali-ahum and Iddin-abum.,04939319-b287-455f-9634-e86658e6e392,7,False
fded4d2f-81a5-45b3-8d62-74e5ffb2e159__c2of2__gc1of1,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,0,short_aligned_gale_church,True,"in the house of Issu-arik, and which the sons of Iddin-abum seized - in accordance with the tablet with a verdict of the City that Kakuwa brought, Enna-Suen and Anuli must not raise claim against Šalim-Aššur with respect to these goods.",In accordance with the tablet with a verdict of the City that Kakuwa brought Enna-Suen and Anuli must not raise claims to those goods against Šalim-Aššur.,From the City and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Is,From the City and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Is,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,4,False
05083743-603f-48b5-a6c7-f089ed845d94__c2of4__gc1of1,05083743-603f-48b5-a6c7-f089ed845d94,0,short_aligned_gale_church,True,trouble and caused expenses of 1 mina of silver He has now dragged me before the City and by verdict of the City Ali-abum will take that silver and gold and Ali-abum will be responsible for Kannutum's interests,"Investors of Šalim-Aššur may make demands Do this and dispatch the 2 tablets with verdicts of the City plus a copy of the testament, and hire an attorney and send Aluwa and the attorney as soon as possible","To Ali-abum 1 mina of refined silver to Ali-abum and Ali-abum sent 1 mina of refined silver to Ali-abum and Ali-abum sent 1 mina of refined silver to Ali-abum ""","To Ali-abum 1 mina of refined silver to Ali-abum and Ali-abum sent 1 mina of refined silver to Ali-abum and Ali-abum sent 1 mina of refined silver to Ali-abum """,05083743-603f-48b5-a6c7-f089ed845d94,6,True
