oare_id,source,retrieval_neighbor_ids,retrieval_scores,retrieval_mode
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c4of8,"a-šar ta-ma-ḫa-ra-ni KÙ.BABBAR ša É a-lim{ki} šu-ta-aṣ-bi-ta-ma ma-lá a-bu-ku-nu ḫa-bu-lu KÙ.BABBAR ku-un-kà-ma šé-bi-lá-nim ra-bi₄-ṣú-um iš-tí-ku-nu

Retrieved source: ta-ur a-pu-tum a-ma-kam i-ḫi-id-ma ra-ma-kà za-ki-a-ma tí-ib-a-ma a-tal-kam a-na-kam KÙ.BABBAR ša É a-lim{ki} ṣí-ib-tum im-tí-da-ku-nu-tí ù šu-ma a-ta sà-aḫ-ra…
Retrieved English hint: Urgent, take care there, clear yourself, set out and come Here interest on the silver due to the City Hall has increased for you, so if you are delayed, then have the silver of the City Hall procured, seal it and give i…",3f083cf5-4920-4c6e-85b4-7539e35d2eea__c2of3,0.3688,val_to_train
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c5of8,"li-ik-nu-uk-ma KÙ.BABBAR šé-bi-lá-nim-ma li-ma-am lu nu-ša-bi ṣí-ba-at ṣí-ib-tim lá i-ma-i-da-ku-nu-tí-ma li-ba-ku-nu e im-ra-aṣ ma-lá e-ṭá-ar É a-bi₄-ku-nu ep-ša šu-ma ta-da-ga-lá-ma ṭup-pu ḫa-ru-mu-tum

Retrieved source: ni-ik-nu-uk-ma a-na a-lim lu ni-lik
Retrieved English hint: Witnessed by Enna-Suen, by Šar-Adad, by Ilī-bāni """,34243f4e-5da2-4192-b46f-2ed04453c10b__c5of5,0.2619,val_to_train
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c6of8,"ú ba-ba-a-tum ru-qá-tum i-ba-ší-ú ṭup-pí ku-un-kà-ma a-na DUMU um-me-a-nim ke-nim ša ki-ma

Retrieved source: a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb a-ḫu-ú-a be-lu-ú-a a-tù-nu a-wi-lúm a-dí ma-lá ù ší-ni-šu iṣ-li-a-ni ṣa-áb-ta-šu-ma KÙ.BABBAR ù ṣí-ba-sú ma-lá ta-le-e-a-ni…
Retrieved English hint: My dear brothers and lords, the man has cheated me once or twice Seize him and have him pay the silver and as much interest as you can manage and then buy tin for me, seal it and give it to a reliable affiliated trader…",2d9c1f96-8385-446e-8cf3-e35038aaa947__c2of2,0.2840,val_to_train
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c7of8,"ku-nu-tí pí-iq-da-ma u₄-me-e-ku-nu ba-lu-um mì-ma-ma lá tù-ri-qá-ma lá ta-sà-ḫu-ra iš-tí ra

Retrieved source: a-na a-šùr-na-da ù šu-sú-en6 qí-bi-ma um-ma pu-šu-ke-en6-ma 3 ma-na KÙ.BABBAR ša kà-ṣa-ri-a il5-kà-ší-id a ší-a-ma-tim <gap> ša mì-ma il5-kà-ší-id i-za-zu lu A…
Retrieved English hint: To Aššur-nādā and Šū-Suen from Pūšu-kēn:
The 3 minas silver which I gave to my kaṣṣārum, Il-kāšid, for purchases, whatever Il-kāšid 'stands', whether donkeys or purchases as much as he purcahsed, entrust the silver to a…",extpub__44412635-494c-2184-b00c-5b08d4dc5b24,0.2386,val_to_train
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c8of8,"nan

Retrieved source: KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a 0.3333 ma-na 2 GÍN KÙ.BABBAR SIG₅ i-ṣé-er PUZUR₄-a…
Retrieved English hint: Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur, seal of Puzur-Aššur son of Ataya Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum Reckoned from the week of Ilī-d…",004a7dbd-57ce-46f8-9691-409be61c676e__c1of2,0.0000,val_to_train
0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9__c1of2,"translate Akkadian to English: KIŠIB a-lá-ḫi-im KIŠIB a-li-li KIŠIB a-bi₄-lá KIŠIB lá-qé-ep ša i-na ba-áb-tim ša a-šùr-be-el-ma-al-ki-im ša iš-ti DUMU a-tù-ri-a ù a-mur-a-šùr ḫi-na-a iṣ-bu-tù-ma a-na e-lá-ma

Retrieved source: KIŠIB a-lá-ḫi-im KIŠIB a-li-li KIŠIB a-bi₄-lá KIŠIB lá-qé-ep ša i-na ba-áb-tim ša a-šùr-be-el-ma-al-ki-im ša iš-ti DUMU a-tù-ri-a ù a-mur-a-šùr ḫi-na-a iṣ-bu-t…
Retrieved English hint: Seal of Ali-ahum, seal of Ali-ilī, seal of Abila, seal of Lā-qēp, that what hinnāya had seized as part of an outstanding claim of Aššur-bēl-malkim from Atūriya's son andfrom Amur-Aššur and had entrusted to Elamma - an a…",0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9__c1of2__gc1of1,1.0000,train_to_train
0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9__c2of2,"ip-qí-du 2 ma-na 13.5 GÍN KÙ.BABBAR ṣa-ru-pá-am e-lá-ma a-na a-lá-ḫi-im ù a-li-li ip-qí-du KÙ.BABBAR a-na a-lá-ḫi-im a-li-li ù ḫi-na-a a ba-re-šu-nu i-lá-ak

Retrieved source: ip-qí-du 2 ma-na 13.5 GÍN KÙ.BABBAR ṣa-ru-pá-am e-lá-ma a-na a-lá-ḫi-im ù a-li-li ip-qí-du KÙ.BABBAR a-na a-lá-ḫi-im a-li-li ù ḫi-na-a a ba-re-šu-nu i-lá-ak
Retrieved English hint: 5 shekels of refined silver, which Elamma in turn had entrusted to Ali-ahum and Ali-ilī - that this silver will become the joint property / responsibility of Ali-ahum, Ali-ilī and hinnāya",0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9__c2of2__gc1of1,1.0000,train_to_train
0126cd13-acf7-4cd5-8373-f1e7b54d824e__c1of3,"translate Akkadian to English: a-na É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-e-im a-na ḫu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de₈-ú-ni a-ta 30 TÚG ku-ta-ni ù ANŠE ṣa-lá-ma-am ša ÌR ta-lá-qé-e um-ma šu-be-lúm-ma ke-na ša

Retrieved source: É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-im a-na ḫu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de₈-ú-n…
Retrieved English hint: We entered Šalim-Aššur's house to settle the case, and Šalim-Aššur said: While they are going to lead me to Burušhaddum in fetters in order to pay the debt of the slave Abu-šalim, you on the other hand have taken 30 -te…",38aa816b-fec2-4c91-8994-1d05a2f2b28a__c1of3,0.8778,train_to_train
0126cd13-acf7-4cd5-8373-f1e7b54d824e__c2of3,"ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni il₅-pu-ut um-ma ša-lim-a-šur-ma a-šar ÌR a-na ÌR-dí-kà lá i-tù-ru-ú ma-a a-na ÌR-dí-a i-tù-wa-ar um-ma šu-be-lúm-ma šu-ma a-na ku-a-im i-tù-a-ar a-na TÚG.ḪI.A ù ANŠE.ḪI.A a-za-za-kum a-na

Retrieved source: ša ÌR tal-qé um-ma šu-be-lúm-ma ke-na ša ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni il₅-pu-ut um-ma šál-ma-a-šur-ma a-šar ÌR a-na wa…
Retrieved English hint: "" Šu-Bēlum answered: ""Yes, I have taken what belongs to my slave Abu-šalim "" Šalim-Aššur impressed on us what was sworn by the City, and Šalim-Aššur said: ""In case the slave does not raise claim against your slave, will…",38aa816b-fec2-4c91-8994-1d05a2f2b28a__c2of3,0.8171,train_to_train
0126cd13-acf7-4cd5-8373-f1e7b54d824e__c3of3,"a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr

Retrieved source: a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr
Retrieved English hint: "" The Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger Witnessed by Uraya, by Ilī-dan, by Mannum-balum-Aššur """,0126cd13-acf7-4cd5-8373-f1e7b54d824e__c3of3__gc1of1,1.0000,train_to_train
017c5be4-f459-4ef5-a045-5933e79c01f9__c1of2,"translate Akkadian to English: ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša PÚZUR-a-šur ù PÚZUR-{d}IŠKUR ṭup-pu-um ša 4 ma-na KÙ.BABBAR ša PÚZUR-a-šur ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša a-sà-nim ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša al-pì-lí ṭup-pu-um ša 10 ma-na KÙ.BABBAR

Retrieved source: ṭup-pu-um ša 10 GÍN KÙ.BABBAR ša be-ú-lá-at a-bu-ša-lim DUMU PÚZUR.IŠTAR ṭup-pu-um ša ku-nu-uk PÚZUR-a-šur a-na 10 GÍN KÙ.BABBAR lá i-tù-ar ṭup-pu-um ša 0.3333…
Retrieved English hint: A tablet about 10 shekels of silver, the working capital of Abu-šalim, son of Puzur-Ištar a tablet with Puzur-Aššur's seal, he will not come back on 10 shekels of silver a tablet about 0 3333 mina of",493ec18f-5be8-40b3-a0bb-0824e5f36ae3__c1of3__gc1of1,0.6096,train_to_train
017c5be4-f459-4ef5-a045-5933e79c01f9__c2of2,"ša a-sà-nim ú PÚZUR-a-šur ṭup-pu-um ša 5 ma-na KÙ.BABBAR ša a-šùr-ṣú-lu-li ṭup-pu-um ša 17 ma-na 15 GÌN ša e-na-na-tim ṭup-pu-um ša ḫu-bu-ul a-bi-ni i-na ku-bu-ur-na-at al-qé-šu

Retrieved source: ša a-sà-nim ú PÚZUR-a-šur ṭup-pu-um ša 5 ma-na KÙ.BABBAR ša a-šùr-ṣú-lu-li ṭup-pu-um ša 17 ma-na 15 GÌN ša e-na-na-tim ṭup-pu-um ša ḫu-bu-ul a-bi-ni i-na ku-bu…
Retrieved English hint: a tablet about 5 minas of silver of Assur-sululi a tablet about 17 minas and 15 shekels of silver of Ennanatum a tablet about a debt of our father, I obtained it in Kuburnat",017c5be4-f459-4ef5-a045-5933e79c01f9__c2of2__gc1of1,1.0000,train_to_train
01cc1406-fc42-4252-aeae-6b4538b069c5__c1of2,"translate Akkadian to English: 17 GÍN KÙ.BABBAR ší-im e-ma-ri-im 30 ma-na URUDU IŠTAR-pí-lá-aḫ a-na ar-be-e-šu <gap> ù-kà-pu-ú ša-pì-ú-tim 9 ma-na URUDU SIG₅ i ší-im sú-ub-ri-im 1 ma-na URUDU ší-kam iš-tí DUMU IŠTAR-ba-ni 2 kà-ar-pát kà-mu-nu mì-ma a-nim i-na

Retrieved source: 9 ma-na URUDU SIG₅ i li-bi ur-dim ša i re-eš kà-ri-im dur₄-ḫu-mì-iš i-za-zu 1 ma-na URUDU ší-kam i li-bi₄ a-šur-i-dí DUMU IŠTAR-ba-ni 2 kà-ar-pát kà-mu-né ku-n…
Retrieved English hint: 9 minas of refined copper due from Urdum, who serves karum Durhumit. 1 mina of sikku-copper due from Assur-idi, son of Istar-bani. Two jars of cumin, with his seal, 13 <gap> saddlecloths — all this belongs to Kuliya.",3d3f904f-5ce0-46dd-815c-e36d32e67396,0.4498,train_to_train
01cc1406-fc42-4252-aeae-6b4538b069c5__c2of2,"du-ur-ḫu-mì-it i-ba-ší 10 pí-ri-kà-nu 1 GÚ SÍG.ḪI.A 2 ú-kà-pé-e 80 lu-ur-ma-tum 10 ma-na Ì.GIŠ sà-ar-dam sà-áp-tí-nam ni-ib-ra-ra-am 2 ší-it-re-e ša za-al-pá 2 e-ma-re ú ù-nu-sú-nu mì-ma a-nim a-na a-šùr-i-mì-tí a-dí-in

Retrieved source: du-ur-ḫu-mì-it i-ba-ší 10 pí-ri-kà-nu 1 GÚ SÍG.ḪI.A 2 ú-kà-pé-e 80 lu-ur-ma-tum 10 ma-na Ì.GIŠ sà-ar-dam sà-áp-tí-nam ni-ib-ra-ra-am 2 ší-it-re-e ša za-al-pá 2…
Retrieved English hint: 10 pirikannu-textiles, 1 talent of wool, 2 saddle-rugs, 80 pomegranates, 10 minas of olive oil, a saptinnu- and a nibraru-textile, 2 scarfs from Zalpa, 2 donkeys with their harness — all this I gave to Assur-imitti",01cc1406-fc42-4252-aeae-6b4538b069c5__c2of2__gc1of1,1.0000,train_to_train
01cdba65-cee2-4988-b0ee-02dad64dbb5f,"translate Akkadian to English: 2 pí-ri-kà-ni-e šu-ku-tum 2 pí-ri-kà-ni-e en-na-sú-in 2 pí-ri-kà-ni ù ší-it-ru-um ša a-ki-dí-e 0.5 GÍN KÙ.BABBAR i li-bé-e ḫa-nu-ú 1 pí-ri-kà-num 1 ša za-al-pá-a ni-ib-ra-ru-um a-zu-ú ù DINGIR-áš-ra-ni a-ṣé-er a-mur-IŠTAR ub-lu-ú mì-ma pí-ri-kà-ni-e a-ni-ú-tim a-na ta-ad-mì-iq-tim IŠTAR-lá-ma-sí ta-ta-dí-in

Retrieved source: 4 ku-ta-ni ša qá-tim 3 TÚG tí-sà-bi ša na-aḫ-ri-a 5 TÚG ni-ib-ra-ru ša za-al-pá 3 ma-na AN.NA 1 pí-ri-kà-nu-um ša kà-ni-iš mì-ma a-nim tám-kà-ru-um a-na šu-IŠT…
Retrieved English hint: 4 of ordinary quality, 3textiles from Nahria, 5 -textiles from Zalpa, 3 minas of tin, 1 from Kanesh - all this the merchant gave to Šu-Ištar <gap> Witnessed by Kura, by Aššur-šamšī",d936c8ee-0394-4b1c-9873-6419aa9a99d2__c1of2__gc1of1,0.3864,train_to_train
020aa8bd-69a4-43a9-8120-efd9e587bb1c__c1of5,"translate Akkadian to English: i-ku-pí-a ù en-um-a-šur iṣ-bu-tù-ni-a-tí-ma um-ma i-ku-pì-a-ma a-na en-um-a-šur-ma 5 GÚ URUDU ma-sí-am ša-bu-ra-am ḫu-ub-lam-ma PUZUR₄-{d}UTU li-pu-ul-kà 5 GÚ URUDU

Retrieved source: i-ku-pí-a ù en-um-a-šur iṣ-bu-tù-ni-a-tí-ma um-ma i-ku-pì-a-ma a-na en-um-a-šur-ma 5 GÚ URUDU ma-sí-am ša-bu-ra-am ḫu-ub-lam-ma PUZUR₄-{d}UTU li-pu-ul-kà 5 GÚ…
Retrieved English hint: Ikūn-pīya and Ennam-Aššur seized us, and Ikūn-pīya said to Ennam-Aššur: Lend me 5 talents of washed, broken copper, and have Puzur-Šamaš reimburse you "" Ennam-Aššur lent 5 talents of washed, broken copper to Ikūn-pīya a…",020aa8bd-69a4-43a9-8120-efd9e587bb1c__c1of5__gc1of1,1.0000,train_to_train
020aa8bd-69a4-43a9-8120-efd9e587bb1c__c2of5,"ma-sí-am ša-bu-ra-am en-um-a-šur a-na i-ku-pí-a iḫ-bu-ul-ma PUZUR₄-{d}UTU en-um-a-šur e-pu-ul um-ma PUZUR₄-{d}UTU-ma a-na 15 u₄-me-e 5 GÚ URUDU-a-kà a-na-ku a-ša-qá-lá-ku-um um-ma en-um-a-šur-ma šu-ma-ba i-na

Retrieved source: i-ku-pí-a ù en-um-a-šur iṣ-bu-tù-ni-a-tí-ma um-ma i-ku-pì-a-ma a-na en-um-a-šur-ma 5 GÚ URUDU ma-sí-am ša-bu-ra-am ḫu-ub-lam-ma PUZUR₄-{d}UTU li-pu-ul-kà 5 GÚ…
Retrieved English hint: Ikūn-pīya and Ennam-Aššur seized us, and Ikūn-pīya said to Ennam-Aššur: Lend me 5 talents of washed, broken copper, and have Puzur-Šamaš reimburse you "" Ennam-Aššur lent 5 talents of washed, broken copper to Ikūn-pīya a…",020aa8bd-69a4-43a9-8120-efd9e587bb1c__c1of5,0.5705,train_to_train
020aa8bd-69a4-43a9-8120-efd9e587bb1c__c3of5,"15 u₄-me-e u₄-mu-ú mì-ma e-ta-at-qú um-ma i-ku-pí-a-ma 5 GÚ URUDU-a-kà ma-sí-am ša-bu-ra-am PUZUR₄-{d}UTU li-iš-qú-lá-kum a-na ṣí-ib-tim ma-lá u₄-mu e-tí-qú-ni-ni i-a-tí URUDU a-nim a-na 4

Retrieved source: 15 u₄-me-e u₄-mu-ú mì-ma e-ta-at-qú um-ma i-ku-pí-a-ma 5 GÚ URUDU-a-kà ma-sí-am ša-bu-ra-am PUZUR₄-{d}UTU li-iš-qú-lá-kum a-na ṣí-ib-tim ma-lá u₄-mu e-tí-qú-ni…
Retrieved English hint: "" Ikūn-pīya answered: ""Let Puzur-Šamaš pay you your 5 talents of washed, broken copper As for the interest, as much as the term is exceeded this copper is my obligation "" In 4 days the god will rise and it is the",020aa8bd-69a4-43a9-8120-efd9e587bb1c__c3of5__gc1of1,1.0000,train_to_train
020aa8bd-69a4-43a9-8120-efd9e587bb1c__c4of5,"u₄-me DINGIR i-ša-ḫi-iṭ-ma ḫa-muš-tum ša {d}IM-ṣú-lu-li <gap> ITU.KAM ku-zal-li li-mu-um ṣí-lu-lu um-ma i-ku-pí-a-ma a-na en-um-a-šur-ma i-nu-mì a-na pu-ru-uš-ḫa-dim té-ra-ba-ni ù a-ta ša KÙ.BABBAR 1

Retrieved source: 7 GÍN ṣa-ru-pá-am e-zi-ib KÙ.BABBAR e-li-tí-ni i-na li-bi lá-qé-ep iš-tù ḫa-muš-tim ša i-tur₄-DINGIR a-na KÙ.BABBAR ku-a-tí ú-ša-zi-iz i-na pu-ru-uš-ḫa-dim i-n…
Retrieved English hint: With respect to the silver it was you I designated On his arrival in Purušhaddum, he should send the silver When he arrived in Purušhaddum in accordance with our agreement you write a tablet for him for the silver for w…",9f8e2f99-acf9-49e0-9c73-ffee6612908c__c2of4,0.3063,train_to_train
020aa8bd-69a4-43a9-8120-efd9e587bb1c__c5of5,"ma-na ù 2 ma-na a-na-aḫ-ta-kà ta-lá-qé-ma ù a-na-ku lá-ag-mì-il₅-kà a-na a-wa-tim a-ni-a-tim kà-ru-um wa-aḫ-šu-ša-na i-dí-ni-a-tí-ma IGI GÍR ša a-šu

Retrieved source: ma-na ù 2 ma-na a-na-aḫ-ta-kà ta-lá-qé-ma ù a-na-ku lá-ag-mì-il₅-kà a-na a-wa-tim a-ni-a-tim kà-ru-um wa-aḫ-šu-ša-na i-dí-ni-a-tí-ma IGI GÍR ša a-šu
Retrieved English hint: "" The Wahšušana colony gave us for these proceedings and we gave our testimony before Aššur's dagger Witnessed by Aššur-idī, by Elāli Puzur-ilī son of Balzuenum was our (absent) partner """,020aa8bd-69a4-43a9-8120-efd9e587bb1c__c5of5__gc1of1,1.0000,train_to_train
