asset_id,oare_id,source_kind,genre_label,transliteration,source_word_len
trainfold_source_only::020aa8bd-69a4-43a9-8120-efd9e587bb1c,020aa8bd-69a4-43a9-8120-efd9e587bb1c,trainfold_source_only,trainfold_parallel,i-ku-pí-a ù en-um-a-šur iṣ-bu-tù-ni-a-tí-ma um-ma i-ku-pì-a-ma a-na en-um-a-šur-ma 5 GÚ URUDU ma-sí-am ša-bu-ra-am ḫu-ub-lam-ma PUZUR₄-{d}UTU li-pu-ul-kà 5 GÚ URUDU ma-sí-am ša-bu-ra-am en-um-a-šur a-na i-ku-pí-a iḫ-bu-ul-ma PUZUR₄-{d}UTU en-um-a-šur e-pu-ul um-ma PUZUR₄-{d}UTU-ma a-na 15 u₄-me-e 5 GÚ URUDU-a-kà a-na-ku a-ša-qá-lá-ku-um um-ma en-um-a-šur-ma šu-ma-ba i-na 15 u₄-me-e u₄-mu-ú mì-ma e-ta-at-qú um-ma i-ku-pí-a-ma 5 GÚ URUDU-a-kà ma-sí-am ša-bu-ra-am PUZUR₄-{d}UTU li-iš-qú-lá-kum a-na ṣí-ib-tim ma-lá u₄-mu e-tí-qú-ni-ni i-a-tí URUDU a-nim a-na 4 u₄-me DINGIR i-ša-ḫi-iṭ-ma ḫa-muš-tum ša {d}IM-ṣú-lu-li <gap> ITU.KAM ku-zal-li li-mu-um ṣí-lu-lu um-ma i-ku-pí-a-ma a-na en-um-a-šur-ma i-nu-mì a-na pu-ru-uš-ḫa-dim té-ra-ba-ni ù a-ta ša KÙ.BABBAR 1 ma-na ù 2 ma-na a-na-aḫ-ta-kà ta-lá-qé-ma ù a-na-ku lá-ag-mì-il₅-kà a-na a-wa-tim a-ni-a-tim kà-ru-um wa-aḫ-šu-ša-na i-dí-ni-a-tí-ma IGI GÍR ša a-šu,109
trainfold_source_only::0225bc1b-0bca-4fdc-820e-691e96f08e25,0225bc1b-0bca-4fdc-820e-691e96f08e25,trainfold_source_only,trainfold_parallel,um-ma i-tur₄-DINGIR-ma a-na en-um-a-šur ù a-lá-ḫi-im qí-bi-ma a-pu-tum a-pu-tum ra-ma-ku-nu za-ki-a-ma mì-ma URUDU a-na bu-ru-uš-ḫa-dim lá tù-šé-ba-lá a-ma-tum-ma a-ba-tí-iq ú ú-tù-ur dí-na-ma KÙ.BABBAR le-qé-a-ma tí-ib-a-ni-ma a-tal-kà-nim a ma-lá i pá-ni-tim a-na be-el KÙ.BABBAR ú-sá-li-ú-ma lá im-gu₅-ru-ni-ni ú-ma-am im-ta-ag-ru-ni,38
trainfold_source_only::025cc1cc-8958-4757-9bc3-99f5746846dc,025cc1cc-8958-4757-9bc3-99f5746846dc,trainfold_source_only,trainfold_parallel,a-na a-lá-ḫi-im ú a-šur-ma-lik qí-bi₄-ma um-ma i-dí-a-bu-um-ma áš-pu-ra-ku-nu-tí iš-tí be-lúm-ba-ni um-ma a-na-ku-ma a-šur-be-el-SA.TU DUMU a-lá-ḫi-im KÙ.BABBAR a-na a-lim{ki} a-na ší-a-ma-tim i-dí-nam ma-lá ta-le-e-a-ni a-wa-tám bu-ut-qá-ma ú tí-ir-ta-ak-nu li-li-kam-ma KÙ.BABBAR ú-šé-bi₄-lá-ku-nu-tí-ma šu-uq-lá-šu-um a-ḫu-ú-a a-tù-nu lu a-wa-tum ba-at-qá-at a-ni-tum lá a-ni-tum tí-ir-ta-ak-nu li-li-kam-ma uz-ni pè-té-a a-ḫu-ú-a a-tù-nu iḫ-da,46
trainfold_source_only::02679472-38ae-4f0b-a3cb-c3ae24e6d239,02679472-38ae-4f0b-a3cb-c3ae24e6d239,trainfold_source_only,trainfold_parallel,<gap> a-ki-dí-e ku-nu-ki-a 1 ANŠE ṣa-lá-ma-am ša-lim-be-lí ú a-šur-pí-lá-aḫ na-áš-ú-ni-ku-nu-tí 15 GÍN KÙ.BABBAR ší-im ANŠE a-ḫa-ma 6 GÍN KÙ.BABBAR ku-ta-nam a-dí-šu-nu-tí KÙ.BABBAR 0.3333 ma-na 1 GÍN pá-zu-ur-tí-šu-nu ša-bu-ú TÚG ku-nu-ki-a li-im-nu-ú-ni-ku-nu-tí-ma ú TÚG ša É a-lá-ḫi-im e-zi-bu-ni a-na ú-ku pí-iq-da-ma a-na dur₄-ḫu-mì-it a-na ṣé-ri-a lu-ub-lam 4 ma-na AN.NA ku-nu-ki-a ú-ku na-áš-a-ku-nu-tí a-ma-kam šu-ma ANŠE i-ḫa-ša-aḫ ANŠE ša-ma-šu-um ú sá-ḫi-ir-tám ša-ma-šu-um ANŠE ṣa-lá-ma-UM ú ú-nu-ut ANŠE a-ší-ni <gap> sú ú ší-na pa-li-li ša ša-lim-be-lí ú a-šur-pí-lá-aḫ i-ra-dí-ú-ni-ku-nu-tí-ni a-na ú-ku dí-na-ma TÚG li-is-ri-dam <gap> na-ru-qá-tim ú iš-ri-im dí-in <gap> a-na na-ḫu-ur ṭur₄-da-ni-šu <gap> na-áp-ri-sí a-ma-kam <gap> lu-ub-lam a-ga-da-tim <gap>-na-áš-a-kum,97
trainfold_source_only::02de3489-7e0e-40fb-878d-141b28b7d6ff,02de3489-7e0e-40fb-878d-141b28b7d6ff,trainfold_source_only,trainfold_parallel,KIŠIB a-šur-i-mì-tí DUMU a-mur-lu-ṣú KIŠIB a-bu-ša-lim DUMU a-šùr-e-mu-qí a-na a-wa-tim a-ni-a-tim ša ili₅-ba-ni DUMU a-mur-a-šur ù a-ḫu-qar DUMU šu-IŠTAR GÍR ša a-šùr iṣ-bu-tù-ni-ma a-šùr-i-mì-tí DUMU a-mur-lu-ṣú ù a-bu-ša-lim DUMU a-šùr-e-mu-qí pí-šu-nu iš-me-ú-ni <gap>-ni <gap> a-šur <gap> ṭup-pu <gap> a-bi-ni,39
trainfold_source_only::02df45ee-6d74-46fb-9870-3e546ce7d304,02df45ee-6d74-46fb-9870-3e546ce7d304,trainfold_source_only,trainfold_parallel,a-na PUZUR₄-{d}IM lá-dí-a en-um-a-šur en-na-sú-in a-šur-i-dí i-ku-pí-a ù li-lá qí-bi-ma um-ma en-um-a-šùr ù a-lá-ḫu-um-ma i-na 40 GÚ URUDU SIG₅ ša i-dí-a-šur um-me-a-ni e-pu-lu ša 22 GÚ URUDU SIG₅ ša li-bi₄ a-lá-ḫi-im KÙ.BABBAR-áp-šu a-na-kam né-nu um-me-a-ni nu-ṭá-ib ŠÀ.BA ša 22 GÚ URUDU qá-ta-tí-šu-nu ì-lí-a i-tur₄-DINGIR ù i-dí-ku-bu-um KÙ.BABBAR-áp-šu il₅-qé-ú ší-tí URUDU 18 GÚ 6 ma-na URUDU i li-bi i-dí-a-šur a-lá-an a-nim mì-ma i li-bi-šu ú-lá i-ba-ší šu-ma a-na qá-ta-tí-šu-nu en-um-a-šur ù i-ku-pí-a i-ma-ṣí-ú qá-ta-tí-šu-nu li-il₅-qé-ú-ma ší-bi šu-uk-na-šu-nu-tí bé-lu-ni a-tù-nu ú tí-ir-ta-ku-nu li-li-kam ù bé-lu KÙ.BABBAR ma-du-tum ša lá il₅-qé-ú-ni a-ḫu-ru,89
trainfold_source_only::02f0ecc7-746b-449d-803c-c05ebbda2336,02f0ecc7-746b-449d-803c-c05ebbda2336,trainfold_source_only,trainfold_parallel,kà-ru-um dí-nam i-dí-in-ma ša-lim-a-šùr ṭup-pu-šu a ší-bi-šu ma-lá KÙ.BABBAR a-na ḫu-bu-ul i-dí-a-bi-im ú-ša-qí-lu ŠU.NÍGIN KÙ.BABBAR a-na me-er-e i-dí-a-bi-im i-qá-bi um-ma šu-ut-ma KÙ.BABBAR a-nim a-ḫa-a ú-ša-qí-il₅,25
trainfold_source_only::0309d067-0bb7-40f6-9d27-1dfb0c60e507,0309d067-0bb7-40f6-9d27-1dfb0c60e507,trainfold_source_only,trainfold_parallel,23.5 GÚ SÍG.ḪI.A 66 maš-ku 10 ANŠE ṣa-lá-mu ú ú-nu-sú-nu 25 TÚG.ḪI.A mì-ma a-nim i ša-ni-tim šé-pí-šu-nu 10 GÍN AN.NA 2 šé-ni-in ša sí-ni-iš-tim 8 šé-ni ša ṣú-ùḫ-ri-im 3 ma-ar-šu e-ba-du-ni du-ug-li mì-ma a-nim a-na qá-tí-šu-nu a-dí-in e-zi-ib sà-ḫe-er-tám ša i pá-ni-tim a qá-tí-šu-nu a-dí-nu-ni 19 GÚ 20 ma-na SÍG.ḪI.A me-at 2 maš-ku i šé-ep a-šu-ú-ma-an i-li-ik,57
trainfold_source_only::035670c1-3504-4084-a2e6-1ff68ade4c74,035670c1-3504-4084-a2e6-1ff68ade4c74,trainfold_source_only,trainfold_parallel,<gap> ša-lim-ar-dí ú šu-nu-nu áp-qí-id IGI a-šùr-i-dí DUMU mu-mu-lá-nim IGI a-šur-ta-ak-lá-ku DUMU i-ku-nim DUMU sá-ma-a mì-ma a-nim a dur₄-ḫu-mì-it <gap> ša ki-ma i-a-tí ú-šé-bi₄-il₅,24
trainfold_source_only::03826c8c-3727-4caf-b781-1cc5f6ab56e6,03826c8c-3727-4caf-b781-1cc5f6ab56e6,trainfold_source_only,trainfold_parallel,13 ma-na KÙ.BABBAR ṣa-ru-pá-am en-um-a-šùr DUMU sú-in-na-da 5.3333 ma-na KÙ.BABBAR ṣa-ru-pá-am sú-in-na-da me-ra-šu il₅-qé-ú i-na ší-im <gap> IGI a-šùr-i-mì-tí IGI iš-me-DINGIR IGI bi-<gap> DUMU ḫa-na-ni-a IGI DINGIR.SIPA DUMU ša-ak-ṣí-im,29
trainfold_source_only::03afa072-8f71-4403-b303-086f6097db3f,03afa072-8f71-4403-b303-086f6097db3f,trainfold_source_only,trainfold_parallel,4 GÍN KÙ.BABBAR i-ṣé-er <gap>-a-šur DAM.GÀR i-šu ITU.KAM a-lá-na-tim a-na ITU.KAM i-ša-qal šu-ma lá iš-qúl 0.3333 GÍN.TA i-na ITU.KAM ú-ṣa-áb li-mu-um a-šùr-na-da ḫa-mu-uš-tum ša qá-té kà-ar-wa-a IGI a-šur-i-dí,28
trainfold_source_only::03f9ecf0-9c9e-461a-821c-aa0cde9398d3,03f9ecf0-9c9e-461a-821c-aa0cde9398d3,trainfold_source_only,trainfold_parallel,um-ma bu-bu-ra-num-ma a-na a-bi₄-a ù a-šùr-DU₁₀ qí-bi-ma a-na a-šùr-DU₁₀ qí-bi-ma iš-tù na-ar-ma-ak-a-šur ba-dí-a a-ma-kam wa-ša-áb-ma ù a-ta ta-áš-ta-pu šu-ma a-ḫu-a a-tù-nu iš-tí a-li-ki-im pá-nim-ma pì-iq-da-ni-šu-ma a-na a-lim{ki} li-li-kam-ma da-a-sú a-ša-qal šu-ma a-lá-kam lá i-mu-a a-pu-tum lá i-ṣa-li-ku-nu kà-sí-a-šu-ma šé-ri-a-ni-šu,39
trainfold_source_only::0441d9a0-cf79-4cd3-85d2-bb57fe44a6e8,0441d9a0-cf79-4cd3-85d2-bb57fe44a6e8,trainfold_source_only,trainfold_parallel,um-ma a-šur-ša-du-e a-mu-ur-ša-ra-sà ù ša-lim-wa-ar-dim-ma a-na a-lá-ḫi-im qí-bi-ma 31 ma-na AN.NA ku-nu-ki-kà ša-lim-wa-ar-dí ub-lá-am a-na ma-lá tí-ir-tí-kà AN.NA a-na a-mu-ur-ša-ra-sà ù ša-lim-wa-ar-dim ni-dí-ma a-na li-bi ma-tim ú-šé-ri-bu-ma 6.5 GÍN.TA a-na an-ni-ki-kà ub-lu-ni-kum ŠÀ.BA 3.5 GÍN ša-du-a-tám ni-dí 4.6666 ma-na 2.5 GÍN KÙ.BABBAR ku-nu-ki-ni ša-lim-wa-ar-dim na-áš-a-ku-um 1 GÍN KÙ.BABBAR a-na qá-tí-šu ni-dí-in a-na šu-mì šu-{d}EN.LÍL ša ni-iš-pu-ra-ku-ni 3 ma-na KÙ.BABBAR šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur e-pu-ul-ni-a-tí iš-tù ša-lim-wa-ar-dim i-li-kà-ni šu-{d}EN.LÍL lá-šu a šu-mì-šu ša-lim-wa-ar-dim 10 u₄-me ú 20 u₄-me nu-sá-as-ḫi-ir-šu i-na a-lá-ak šu-{d}EN.LÍL tí-ir-tám za-ku-tám ni-ša-pá-ra-kum,83
trainfold_source_only::0480d321-8019-4775-bb29-5ac41b659c02,0480d321-8019-4775-bb29-5ac41b659c02,trainfold_source_only,trainfold_parallel,a-na ku-li-a qí-bi-ma um-ma a-sá-num-ma a-šu-mì a-ší-im sá-aḫ-ra-a-ku a-ši-a-im i-ma-gu₅-ru a-da-šu-ma a-ta-be-a-am-ma a-ta-lá-kam a-dí-i na-áš-pè-er-tí-kà ša a-šu-mì kà-lá-pí-im i-li-kà-ni ší-bé-e a-dí-ni lá aḫ-ri-im i ší-be-a a-zu kà-ṣa-ar PUZUR₄-a-mur be-li a-ta a-na a-na PUZUR₄-a-mur pu-nu-ma a-zu-ú li-iṭ-ru-dam iš-tí tap-pá-i-šu ší-bu-tám li-dí-nam i-na lá i-da-i-a a-mì-ša-am i-tal-kam um-ma šu-ut-ma a-na e-lá-lí a-lá-ak,50
trainfold_source_only::04810846-95dd-4ff0-bd99-33a1da243065,04810846-95dd-4ff0-bd99-33a1da243065,trainfold_source_only,trainfold_parallel,a-na en-um-a-šur ù SIG₅-pí-a-šur a-na SIG₅-pí-a-šur qí-bi-ma um-ma ša-ta-na-ma 10 GÍN KÙ.BABBAR ṣa-ru-pá-am a-na ší-a-ma-tim a-dí-na-kum 3 ša-lá-ší-šu qá-dum ša ḫa-ra-an a-lim{ki} ḫa-ra-nam ú-qá a-ma-kam KÙ.BABBAR ú ší-a-ma-tí-šu a-na en-um-a-šur šu-qúl,31
trainfold_source_only::0489c21d-108d-404f-a50c-d040ee16674b,0489c21d-108d-404f-a50c-d040ee16674b,trainfold_source_only,trainfold_parallel,a-na en-nam-a-šur qí-bi-ma um-ma ša-ta-na-ma 2 ma-na 12.5 GÍN KÙ.BABBAR ša a-dí-na-ku-ni a-ḫi a-ta be-lí a-ta ší-ma-am e-pu-uš-ma iš-tí a-li-ki-im pá-ni-im-ma šé-bi-lam <gap> lá ša ku-lu ša aq-bi₄-a-ku-ni lu TÚG-ba-tí lu AN.NA ša-dí-šu-ma šé-bi₄-lam,34
trainfold_source_only::04dd324f-120e-44fd-9dbd-93a144906902,04dd324f-120e-44fd-9dbd-93a144906902,trainfold_source_only,trainfold_parallel,i-na 1.5 GÚ 4 ma-na URUDU SIG₅ ù 1 GÚ 14 ma-na URUDU ṣa-lá-mì-im ša a-lá-ḫu-um e-zi-bu 31 ma-na URUDU SIG₅ ší-im <gap> a-šur-du-gul il₅-qé <gap> 4 ma-na URUDU en-na-sú-in il₅-qé 8 ma-na URUDU SIG₅ zi-kur-{d}IM il₅-qé 15 ma-na URUDU ší-im ku-ta-nu a-na qá-tí-šu né-eš-qúl 1 ma-na URUDU ṣa-lá-ma-am ḫi-<gap> ma-na URUDU um-<gap> il₅-qé <gap>,55
trainfold_source_only::05467017-cb12-40d3-8bf4-fc656b137fec,05467017-cb12-40d3-8bf4-fc656b137fec,trainfold_source_only,trainfold_parallel,KIŠIB a-šur-i-mì-tí DUMU du-dí-ki KIŠIB ú-ṣur-ša-a-šur DUMU a-ku-a KIŠIB a-šur-ba-ni kà-al-bi₄-im 15 ma-na URUDU ší-kam a-na šu-mì en-um-a-šur DUMU šál-ma-a-šur a-na ta-áp-ḫi-ri-im áš-qúl,23
trainfold_source_only::0556fc5f-3705-46a0-a91a-838884587bc7,0556fc5f-3705-46a0-a91a-838884587bc7,trainfold_source_only,trainfold_parallel,<gap> a-šùr <gap> li-pu-ul-kà-ma <gap> ma-na KÙ.BABBAR ṣa-ru-pá-am šu-qú-ul um-ma i-dí-ku-bu-ma ṭup-pá-am GAL ṭá-bi₄-a-nim i-na ú-mì-im ša a-na-ku ù ša-lim-a-šur ni-na-mu-ru <gap> tám a-da-šu-um <gap> DUMU MAN.IŠTAR <gap>,28
trainfold_source_only::05ff2933-154f-4144-bda0-6fd4217fd00f,05ff2933-154f-4144-bda0-6fd4217fd00f,trainfold_source_only,trainfold_parallel,30 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu ku-nu-ki-a a-na um-mì-a-ni-a ša ki-ma i-a-tí ù ḫi-na-a šu-ku-bu-um ú-bi₄-il₅ IGI a-mur-{d}UTU DUMU mì-šar-ra-bí IGI a-mur-{d}UTU DUMU ḫa-ri-im-tim 2 ma-na KÙ.BABBAR i-a-am 1 ma-na KÙ.BABBAR ša ḫi-na-a a pá-ni ILLAT-tim 1.5 ma-na KÙ.BABBAR ša um-mì-iš-ḫa-ra 15 GÍN KÙ.KI ša lá-ma-sí-tim ú a-šur-iš-tí-kál ŠÀ.BA 0.5 ma-na 5 GÍN ša lá-ma-sí-tim 0.3333 ma-na 5 GÍN KÙ.BABBAR ša ik-ri-bi-a mì-ma a-nim ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu ku-nu-ki-a a ša ki-ma i-a-tí šu-ku-bu-um ú-bi₄-il₅ IGI lá-qé-ep DUMU i-zi-za-am-ì-lí IGI a-šur-na-da,82
trainfold_source_only::0685c421-0ca7-4d48-9e3e-ecd1fee4c2e6,0685c421-0ca7-4d48-9e3e-ecd1fee4c2e6,trainfold_source_only,trainfold_parallel,um-ma ku-zi-zi-a-ma a-na en-um-a-šùr qí-bi-ma a-na ma-lá tí-ir-tí-kà ḫu-ur-ší-kà ša ṭup-pé-e pí-la-aḫ-IŠTAR i-dí-nam ḫu-ur-ší-a-nu-um ù ku-nu-ku-kà ku-nu-ku ša a-lu-lá-a um-ma pí-lá-aḫ-IŠTAR-ma ṭup-pá-am ša kà-ṣa-ri-šu a-a-kam-ma ni-il₅-qé-ma ú a-na ḫu-ur-ší-a-nim ni-iš-ku-šu-ma a-lu-lá-a ik-nu-uk ḫu-ur-ší-a-nam ša ṭup-pí-kà eb-ri-mu-ša na-áš-a-kum ù a ma-lá tí-ir-tí-kà ṭup-pí-kà a-na pu-ru-uš-ḫa-dim nu-uš-té-bi-il₅ áš-pu-ra-kum um-ma a-na-ku-ma ú-ṭá-tám <gap>-a-ku-ma a-we-el-tim dí-in ú tí-ir-ta-kà li-li-kam ta-áš-pu-ra-am um-ma a-ta-ma a-da-an a-ḫi a-ta dí-in,62
trainfold_source_only::06a9a456-58e2-4fed-9687-913d824cadc4,06a9a456-58e2-4fed-9687-913d824cadc4,trainfold_source_only,trainfold_parallel,i-na 48 ku-ta-ni ša ik-ri-bi ŠÀ.BA 5 ku-ta-ni a-na 0.5 ma-na 7.5 GÍN ší-im-šu-nu a-na GAL pé-er-dí a-dí-in 7 ku-ta-ni a-šur-ma-lik DUMU i-na-a a-na 1 ma-na 13 GÍN KÙ.BABBAR il₅-qé 1 ku-ta-nam i-tur₄-DINGIR il₅-qé 1 ku-ta-nam a-na 7.5 GÍN KÙ.BABBAR ku-tù-bi-iš il₅-qé 3 ku-ta-ni ṣa-aḫ-ri-ì-lí il₅-qé 6 ku-ta-nu i-na li-bi₄ a-na-na 2 ku-ta-ni ḫa-té-e nu-lá-bi-iš 10 ku-ta-ni a-lu-ú-a ú-šé-ra-ba-am 1 ku-ta-nam SIG₅ a-na 0.5 ma-na KÙ.BABBAR tù-um-lá-i-um il₅-qé 5 ku-ta-ni a-na ḫa-ra-ni-a al-qé 6 ku-ta-ni a-na-kam e-zi-ib 1 ku-ta-nam a-na 13 GÍN en-na-nu-um,83
